GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2017 inflation-adjusted dollars)
0400000US41,41,Oregon,56119,370
1500000US410670301011,410670301011,"Block Group 1, Census Tract 301.01, Washington County, Oregon",138696,47141
1500000US410670301012,410670301012,"Block Group 2, Census Tract 301.01, Washington County, Oregon",102788,31404
1500000US410670301013,410670301013,"Block Group 3, Census Tract 301.01, Washington County, Oregon",87857,11386
1500000US410670301014,410670301014,"Block Group 4, Census Tract 301.01, Washington County, Oregon",51403,13280
1500000US410670301021,410670301021,"Block Group 1, Census Tract 301.02, Washington County, Oregon",73470,5739
1500000US410670301022,410670301022,"Block Group 2, Census Tract 301.02, Washington County, Oregon",158988,15716
1500000US410670302001,410670302001,"Block Group 1, Census Tract 302, Washington County, Oregon",67031,37684
1500000US410670302002,410670302002,"Block Group 2, Census Tract 302, Washington County, Oregon",102734,21491
1500000US410670302003,410670302003,"Block Group 3, Census Tract 302, Washington County, Oregon",76071,40959
1500000US410670302004,410670302004,"Block Group 4, Census Tract 302, Washington County, Oregon",53359,36238
1500000US410670303001,410670303001,"Block Group 1, Census Tract 303, Washington County, Oregon",104423,34641
1500000US410670303002,410670303002,"Block Group 2, Census Tract 303, Washington County, Oregon",103750,24253
1500000US410670303003,410670303003,"Block Group 3, Census Tract 303, Washington County, Oregon",69423,36280
1500000US410670303004,410670303004,"Block Group 4, Census Tract 303, Washington County, Oregon",98971,19624
1500000US410670304011,410670304011,"Block Group 1, Census Tract 304.01, Washington County, Oregon",32931,11609
1500000US410670304012,410670304012,"Block Group 2, Census Tract 304.01, Washington County, Oregon",77464,39950
1500000US410670304013,410670304013,"Block Group 3, Census Tract 304.01, Washington County, Oregon",51619,8335
1500000US410670304021,410670304021,"Block Group 1, Census Tract 304.02, Washington County, Oregon",84745,11821
1500000US410670304022,410670304022,"Block Group 2, Census Tract 304.02, Washington County, Oregon",57672,20327
1500000US410670304023,410670304023,"Block Group 3, Census Tract 304.02, Washington County, Oregon",64980,18568
1500000US410670305011,410670305011,"Block Group 1, Census Tract 305.01, Washington County, Oregon",24042,16447
1500000US410670305012,410670305012,"Block Group 2, Census Tract 305.01, Washington County, Oregon",71298,9424
1500000US410670305013,410670305013,"Block Group 3, Census Tract 305.01, Washington County, Oregon",53587,29435
1500000US410670305014,410670305014,"Block Group 4, Census Tract 305.01, Washington County, Oregon",83295,27580
1500000US410670305021,410670305021,"Block Group 1, Census Tract 305.02, Washington County, Oregon",92988,10411
1500000US410670305022,410670305022,"Block Group 2, Census Tract 305.02, Washington County, Oregon",75288,40635
1500000US410670305023,410670305023,"Block Group 3, Census Tract 305.02, Washington County, Oregon",46635,14260
1500000US410670306001,410670306001,"Block Group 1, Census Tract 306, Washington County, Oregon",100956,16166
1500000US410670306002,410670306002,"Block Group 2, Census Tract 306, Washington County, Oregon",51454,14275
1500000US410670306003,410670306003,"Block Group 3, Census Tract 306, Washington County, Oregon",84485,17243
1500000US410670307001,410670307001,"Block Group 1, Census Tract 307, Washington County, Oregon",31750,8183
1500000US410670307002,410670307002,"Block Group 2, Census Tract 307, Washington County, Oregon",46066,3482
1500000US410670308011,410670308011,"Block Group 1, Census Tract 308.01, Washington County, Oregon",74865,24301
1500000US410670308012,410670308012,"Block Group 2, Census Tract 308.01, Washington County, Oregon",86285,20019
1500000US410670308013,410670308013,"Block Group 3, Census Tract 308.01, Washington County, Oregon",37364,29004
1500000US410670308014,410670308014,"Block Group 4, Census Tract 308.01, Washington County, Oregon",36250,10467
1500000US410670308031,410670308031,"Block Group 1, Census Tract 308.03, Washington County, Oregon",50307,11539
1500000US410670308032,410670308032,"Block Group 2, Census Tract 308.03, Washington County, Oregon",50817,7943
1500000US410670308033,410670308033,"Block Group 3, Census Tract 308.03, Washington County, Oregon",71806,9684
1500000US410670308034,410670308034,"Block Group 4, Census Tract 308.03, Washington County, Oregon",37321,13555
1500000US410670308051,410670308051,"Block Group 1, Census Tract 308.05, Washington County, Oregon",108073,15056
1500000US410670308052,410670308052,"Block Group 2, Census Tract 308.05, Washington County, Oregon",28958,9506
1500000US410670308053,410670308053,"Block Group 3, Census Tract 308.05, Washington County, Oregon",52770,20250
1500000US410670308061,410670308061,"Block Group 1, Census Tract 308.06, Washington County, Oregon",86000,17064
1500000US410670309001,410670309001,"Block Group 1, Census Tract 309, Washington County, Oregon",41693,5489
1500000US410670309002,410670309002,"Block Group 2, Census Tract 309, Washington County, Oregon",51708,6953
1500000US410670309003,410670309003,"Block Group 3, Census Tract 309, Washington County, Oregon",40634,13588
1500000US410670310031,410670310031,"Block Group 1, Census Tract 310.03, Washington County, Oregon",57719,34220
1500000US410670310032,410670310032,"Block Group 2, Census Tract 310.03, Washington County, Oregon",-,**
1500000US410670310033,410670310033,"Block Group 3, Census Tract 310.03, Washington County, Oregon",76667,13693
1500000US410670310034,410670310034,"Block Group 4, Census Tract 310.03, Washington County, Oregon",91429,29772
1500000US410670310035,410670310035,"Block Group 5, Census Tract 310.03, Washington County, Oregon",79726,20495
1500000US410670310041,410670310041,"Block Group 1, Census Tract 310.04, Washington County, Oregon",49917,36320
1500000US410670310042,410670310042,"Block Group 2, Census Tract 310.04, Washington County, Oregon",100192,26398
1500000US410670310043,410670310043,"Block Group 3, Census Tract 310.04, Washington County, Oregon",89500,24864
1500000US410670310044,410670310044,"Block Group 4, Census Tract 310.04, Washington County, Oregon",61518,11141
1500000US410670310051,410670310051,"Block Group 1, Census Tract 310.05, Washington County, Oregon",68750,39008
1500000US410670310052,410670310052,"Block Group 2, Census Tract 310.05, Washington County, Oregon",59028,21592
1500000US410670310053,410670310053,"Block Group 3, Census Tract 310.05, Washington County, Oregon",45417,20883
1500000US410670310054,410670310054,"Block Group 4, Census Tract 310.05, Washington County, Oregon",50056,21965
1500000US410670310061,410670310061,"Block Group 1, Census Tract 310.06, Washington County, Oregon",54948,9228
1500000US410670310062,410670310062,"Block Group 2, Census Tract 310.06, Washington County, Oregon",97115,28847
1500000US410670310063,410670310063,"Block Group 3, Census Tract 310.06, Washington County, Oregon",82574,25271
1500000US410670310064,410670310064,"Block Group 4, Census Tract 310.06, Washington County, Oregon",40285,5158
1500000US410670311001,410670311001,"Block Group 1, Census Tract 311, Washington County, Oregon",43404,10592
1500000US410670311002,410670311002,"Block Group 2, Census Tract 311, Washington County, Oregon",37083,11954
1500000US410670312001,410670312001,"Block Group 1, Census Tract 312, Washington County, Oregon",48068,19230
1500000US410670312002,410670312002,"Block Group 2, Census Tract 312, Washington County, Oregon",31133,3906
1500000US410670312003,410670312003,"Block Group 3, Census Tract 312, Washington County, Oregon",44792,20848
1500000US410670312004,410670312004,"Block Group 4, Census Tract 312, Washington County, Oregon",43487,11098
1500000US410670313001,410670313001,"Block Group 1, Census Tract 313, Washington County, Oregon",33828,4707
1500000US410670313002,410670313002,"Block Group 2, Census Tract 313, Washington County, Oregon",50769,19084
1500000US410670313003,410670313003,"Block Group 3, Census Tract 313, Washington County, Oregon",42468,28942
1500000US410670313004,410670313004,"Block Group 4, Census Tract 313, Washington County, Oregon",55556,28150
1500000US410670314021,410670314021,"Block Group 1, Census Tract 314.02, Washington County, Oregon",41944,11023
1500000US410670314022,410670314022,"Block Group 2, Census Tract 314.02, Washington County, Oregon",68214,14227
1500000US410670314031,410670314031,"Block Group 1, Census Tract 314.03, Washington County, Oregon",59293,20590
1500000US410670314032,410670314032,"Block Group 2, Census Tract 314.03, Washington County, Oregon",59350,3183
1500000US410670314033,410670314033,"Block Group 3, Census Tract 314.03, Washington County, Oregon",68514,11379
1500000US410670314041,410670314041,"Block Group 1, Census Tract 314.04, Washington County, Oregon",65662,11827
1500000US410670314042,410670314042,"Block Group 2, Census Tract 314.04, Washington County, Oregon",76094,49173
1500000US410670314043,410670314043,"Block Group 3, Census Tract 314.04, Washington County, Oregon",59043,10410
1500000US410670314044,410670314044,"Block Group 4, Census Tract 314.04, Washington County, Oregon",80417,18297
1500000US410670315041,410670315041,"Block Group 1, Census Tract 315.04, Washington County, Oregon",89513,6916
1500000US410670315042,410670315042,"Block Group 2, Census Tract 315.04, Washington County, Oregon",111442,29623
1500000US410670315043,410670315043,"Block Group 3, Census Tract 315.04, Washington County, Oregon",50697,15190
1500000US410670315044,410670315044,"Block Group 4, Census Tract 315.04, Washington County, Oregon",79146,8926
1500000US410670315061,410670315061,"Block Group 1, Census Tract 315.06, Washington County, Oregon",132670,15615
1500000US410670315062,410670315062,"Block Group 2, Census Tract 315.06, Washington County, Oregon",58438,7890
1500000US410670315071,410670315071,"Block Group 1, Census Tract 315.07, Washington County, Oregon",131188,28421
1500000US410670315072,410670315072,"Block Group 2, Census Tract 315.07, Washington County, Oregon",90469,23935
1500000US410670315073,410670315073,"Block Group 3, Census Tract 315.07, Washington County, Oregon",52277,4053
1500000US410670315081,410670315081,"Block Group 1, Census Tract 315.08, Washington County, Oregon",152833,32138
1500000US410670315082,410670315082,"Block Group 2, Census Tract 315.08, Washington County, Oregon",180200,42213
1500000US410670315083,410670315083,"Block Group 3, Census Tract 315.08, Washington County, Oregon",51301,13892
1500000US410670315084,410670315084,"Block Group 4, Census Tract 315.08, Washington County, Oregon",192171,39899
1500000US410670315085,410670315085,"Block Group 5, Census Tract 315.08, Washington County, Oregon",162807,43920
1500000US410670315091,410670315091,"Block Group 1, Census Tract 315.09, Washington County, Oregon",88798,7740
1500000US410670315092,410670315092,"Block Group 2, Census Tract 315.09, Washington County, Oregon",107844,45398
1500000US410670315111,410670315111,"Block Group 1, Census Tract 315.11, Washington County, Oregon",115221,21205
1500000US410670315112,410670315112,"Block Group 2, Census Tract 315.11, Washington County, Oregon",58036,21211
1500000US410670315121,410670315121,"Block Group 1, Census Tract 315.12, Washington County, Oregon",71023,31166
1500000US410670315122,410670315122,"Block Group 2, Census Tract 315.12, Washington County, Oregon",96490,18566
1500000US410670315123,410670315123,"Block Group 3, Census Tract 315.12, Washington County, Oregon",92769,8956
1500000US410670315131,410670315131,"Block Group 1, Census Tract 315.13, Washington County, Oregon",175417,30608
1500000US410670315132,410670315132,"Block Group 2, Census Tract 315.13, Washington County, Oregon",103675,6041
1500000US410670315133,410670315133,"Block Group 3, Census Tract 315.13, Washington County, Oregon",157990,9216
1500000US410670315141,410670315141,"Block Group 1, Census Tract 315.14, Washington County, Oregon",155043,93670
1500000US410670315142,410670315142,"Block Group 2, Census Tract 315.14, Washington County, Oregon",102661,11801
1500000US410670315143,410670315143,"Block Group 3, Census Tract 315.14, Washington County, Oregon",84050,39212
1500000US410670316061,410670316061,"Block Group 1, Census Tract 316.06, Washington County, Oregon",60887,10280
1500000US410670316062,410670316062,"Block Group 2, Census Tract 316.06, Washington County, Oregon",51356,8560
1500000US410670316063,410670316063,"Block Group 3, Census Tract 316.06, Washington County, Oregon",76279,4062
1500000US410670316091,410670316091,"Block Group 1, Census Tract 316.09, Washington County, Oregon",78175,14695
1500000US410670316092,410670316092,"Block Group 2, Census Tract 316.09, Washington County, Oregon",49156,4899
1500000US410670316093,410670316093,"Block Group 3, Census Tract 316.09, Washington County, Oregon",78045,9585
1500000US410670316094,410670316094,"Block Group 4, Census Tract 316.09, Washington County, Oregon",73079,12068
1500000US410670316101,410670316101,"Block Group 1, Census Tract 316.10, Washington County, Oregon",149886,56485
1500000US410670316102,410670316102,"Block Group 2, Census Tract 316.10, Washington County, Oregon",49958,14292
1500000US410670316103,410670316103,"Block Group 3, Census Tract 316.10, Washington County, Oregon",48565,8851
1500000US410670316104,410670316104,"Block Group 4, Census Tract 316.10, Washington County, Oregon",65446,19185
1500000US410670316105,410670316105,"Block Group 5, Census Tract 316.10, Washington County, Oregon",65383,9181
1500000US410670316111,410670316111,"Block Group 1, Census Tract 316.11, Washington County, Oregon",83221,11184
1500000US410670316112,410670316112,"Block Group 2, Census Tract 316.11, Washington County, Oregon",86631,7473
1500000US410670316113,410670316113,"Block Group 3, Census Tract 316.11, Washington County, Oregon",93598,22344
1500000US410670316121,410670316121,"Block Group 1, Census Tract 316.12, Washington County, Oregon",77241,7624
1500000US410670316131,410670316131,"Block Group 1, Census Tract 316.13, Washington County, Oregon",71985,15206
1500000US410670316132,410670316132,"Block Group 2, Census Tract 316.13, Washington County, Oregon",64453,24817
1500000US410670316133,410670316133,"Block Group 3, Census Tract 316.13, Washington County, Oregon",54322,33669
1500000US410670316134,410670316134,"Block Group 4, Census Tract 316.13, Washington County, Oregon",47350,10910
1500000US410670316141,410670316141,"Block Group 1, Census Tract 316.14, Washington County, Oregon",94405,6804
1500000US410670316142,410670316142,"Block Group 2, Census Tract 316.14, Washington County, Oregon",73796,9940
1500000US410670316151,410670316151,"Block Group 1, Census Tract 316.15, Washington County, Oregon",32346,22107
1500000US410670316152,410670316152,"Block Group 2, Census Tract 316.15, Washington County, Oregon",81667,13900
1500000US410670316153,410670316153,"Block Group 3, Census Tract 316.15, Washington County, Oregon",73750,10822
1500000US410670316154,410670316154,"Block Group 4, Census Tract 316.15, Washington County, Oregon",73750,20775
1500000US410670316161,410670316161,"Block Group 1, Census Tract 316.16, Washington County, Oregon",64282,7013
1500000US410670316162,410670316162,"Block Group 2, Census Tract 316.16, Washington County, Oregon",58029,7467
1500000US410670316171,410670316171,"Block Group 1, Census Tract 316.17, Washington County, Oregon",92083,5780
1500000US410670316172,410670316172,"Block Group 2, Census Tract 316.17, Washington County, Oregon",80000,13637
1500000US410670316173,410670316173,"Block Group 3, Census Tract 316.17, Washington County, Oregon",84107,23559
1500000US410670316174,410670316174,"Block Group 4, Census Tract 316.17, Washington County, Oregon",73750,24802
1500000US410670317031,410670317031,"Block Group 1, Census Tract 317.03, Washington County, Oregon",68958,13215
1500000US410670317032,410670317032,"Block Group 2, Census Tract 317.03, Washington County, Oregon",65750,15580
1500000US410670317033,410670317033,"Block Group 3, Census Tract 317.03, Washington County, Oregon",58393,6816
1500000US410670317041,410670317041,"Block Group 1, Census Tract 317.04, Washington County, Oregon",98250,29138
1500000US410670317042,410670317042,"Block Group 2, Census Tract 317.04, Washington County, Oregon",71186,16665
1500000US410670317043,410670317043,"Block Group 3, Census Tract 317.04, Washington County, Oregon",97545,68412
1500000US410670317044,410670317044,"Block Group 4, Census Tract 317.04, Washington County, Oregon",53594,12215
1500000US410670317045,410670317045,"Block Group 5, Census Tract 317.04, Washington County, Oregon",63438,15591
